bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Year
1,0,Shen,Elise,Urgot,Tristana,Braum,Olaf,Nidalee,Orianna,Corki,Thresh,2015
1,0,Olaf,Nidalee,Lulu,Jinx,Thresh,Maokai,Elise,Orianna,Ashe,Alistar,2015
0,1,Shen,Evelynn,Urgot,Tristana,Janna,Gnar,Elise,Ahri,Sivir,Alistar,2015
1,0,Olaf,Ekko,Viktor,Tristana,Braum,Shen,Evelynn,Lulu,KogMaw,Alistar,2015
0,1,Maokai,LeeSin,Lulu,Vayne,Braum,Gnar,Ekko,Orianna,Tristana,Thresh,2015
1,0,Gnar,Ekko,Orianna,Jinx,Alistar,Maokai,LeeSin,Viktor,KogMaw,Braum,2015
0,1,Gnar,Elise,Lulu,KogMaw,Thresh,Maokai,Ekko,Azir,Jinx,Braum,2015
1,0,Gnar,Nidalee,Azir,Jinx,Braum,Maokai,Elise,Viktor,Sivir,Alistar,2015
1,0,Nautilus,Gragas,Azir,Vayne,Braum,Maokai,Evelynn,Ahri,Sivir,Alistar,2015
1,0,Gnar,Ekko,Lulu,Jinx,Thresh,Nautilus,Gragas,Viktor,Twitch,Braum,2015
1,0,Maokai,Gragas,Orianna,Vayne,Janna,Ryze,LeeSin,Lulu,Ashe,Leona,2015
1,0,Shen,Evelynn,Orianna,Ashe,Soraka,Gangplank,Gragas,Lulu,KogMaw,Braum,2015
1,0,Sion,Gragas,Orianna,Vayne,Alistar,Malphite,Elise,Lulu,KogMaw,Janna,2015
0,1,Maokai,Evelynn,Diana,Ashe,Leona,Nautilus,Gragas,Orianna,Lucian,Janna,2015
1,0,Yasuo,Gragas,Viktor,Tristana,Braum,Gnar,Nidalee,Orianna,KogMaw,Janna,2015
0,1,Nautilus,Ekko,Yasuo,KogMaw,Alistar,Gnar,Gragas,Viktor,Jinx,Janna,2015
1,0,Gnar,Ekko,Viktor,Ashe,Braum,Nautilus,Gragas,Yasuo,KogMaw,Janna,2015
0,1,Rumble,Amumu,Diana,Tristana,Karma,Gnar,Gragas,Viktor,Ashe,Braum,2015
0,1,Lulu,Amumu,Yasuo,Tristana,Karma,Gnar,Gragas,Viktor,Ashe,Alistar,2015
1,0,Maokai,Shyvana,Orianna,Varus,Braum,Gnar,Gragas,Viktor,Ashe,Alistar,2015
